ID;Art;From;To;Length;Source;Target;ToblerSum;Weight
538503;land;NULL;NULL;24445;7292;1263;1469.543962;6.804832153
538505;land;NULL;NULL;25766;5997;7292;1549.975573;6.451714576
538507;land;NULL;NULL;2629;11836;7950;154.9935133;64.51882912
538509;land;NULL;NULL;16232;1263;11836;978.9339208;10.21519409
538511;land;NULL;NULL;11640;7238;5705;703.8107986;14.20836398
538513;land;NULL;NULL;8312;5705;7707;500.5247797;19.97903082
538515;land;NULL;NULL;8812;7707;2221;531.1639498;18.82657888
538517;land;NULL;NULL;15298;2221;806;913.1025358;10.95167258
538519;land;NULL;NULL;18658;806;4918;1126.433747;8.877574938
538521;land;NULL;NULL;10485;4918;16651;631.4423186;15.83675928
538523;water;NULL;NULL;132158;1206;2342;7943.065899;3.776879152
538525;water;NULL;NULL;21427;2342;9332;1293.493831;23.19299813
538527;land;NULL;NULL;210;4198;9332;12.42970795;804.5241323
538529;land;NULL;NULL;229;16650;8068;14.0910155;709.6720602
538531;water;NULL;NULL;30228;11872;4639;1823.990427;16.44745475
538533;water;NULL;NULL;24526;4639;11873;1479.862256;20.27215701
538535;water;NULL;NULL;130097;11872;3367;7849.550382;3.821874953
538537;land;NULL;NULL;28602;4825;16650;1727.4206;5.788978087
538539;land;NULL;NULL;21794;8068;5651;1316.740906;7.594508496
538541;land;NULL;NULL;351;5651;11873;20.58156426;485.8717186
538543;water;NULL;NULL;336;11828;16857;20.37535834;1472.366743
538545;water;NULL;NULL;9555;5883;11872;573.690671;52.29298909
538547;land;NULL;NULL;294;7667;11828;17.93083512;557.6985085
538549;land;NULL;NULL;27170;7667;11829;1638.962944;6.101419215
538551;land;NULL;NULL;3837;5014;11829;230.3397124;43.41413774
538553;land;NULL;NULL;41777;11829;11885;2511.869041;3.981099268
538555;land;NULL;NULL;16881;16651;3661;1015.514204;9.847228092
538557;land;NULL;NULL;7260;1170;2308;438.1523294;22.82311271
538559;land;NULL;NULL;3601;3661;1170;221.6119581;45.12391878
538561;land;NULL;NULL;408;16651;4198;24.97572835;400.3887238
538563;land;NULL;NULL;3768;2308;2304;223.9587508;44.65107957
538565;land;NULL;NULL;534;4648;742;32.52862194;307.4215692
538567;land;NULL;NULL;14768;2304;4294;882.0579901;11.33712308
538569;land;NULL;NULL;26092;2308;742;1568.2731;6.376440429
538571;land;NULL;NULL;19854;12127;12125;1195.489027;8.364777742
538573;land;NULL;NULL;708;5155;12127;42.96655357;232.7391696
538575;land;NULL;NULL;13071;742;5155;780.0613837;12.81950396
538577;land;NULL;NULL;30120;12128;12127;1807.484341;5.532551389
538579;land;NULL;NULL;16987;16653;11826;1031.198021;9.69745849
538581;land;NULL;NULL;3672;16652;9080;227.6987865;43.91766927
538583;land;NULL;NULL;4226;16652;16653;262.4576991;38.101378
538585;land;NULL;NULL;675;11792;16652;41.33503536;241.9255219
538587;land;NULL;NULL;43141;11826;808;2597.767963;3.849458513
538589;land;NULL;NULL;1459;9080;16653;89.36836802;111.8964151
538591;land;NULL;NULL;6544;4448;11826;393.624212;25.4049413
538593;land;NULL;NULL;23741;808;5684;1425.6971;7.014112605
538595;land;NULL;NULL;50065;1184;7667;3010.262835;3.32196906
538597;land;NULL;NULL;28439;1675;16699;1709.661893;5.849109722
538599;land;NULL;NULL;3901;7262;16695;236.1433479;42.34715943
538601;land;NULL;NULL;9510;12435;16696;575.6245123;17.372436
538603;land;NULL;NULL;13757;7102;16694;834.7582965;11.97951556
538605;land;1500;NULL;19390;16693;3363;1173.380435;8.522385156
538607;land;NULL;NULL;1266;16694;16693;78.01329862;128.1832736
538609;land;NULL;NULL;16647;16695;1675;1008.959167;9.911203872
538611;land;NULL;NULL;2866;16693;7069;176.2469455;56.73857195
538613;land;NULL;NULL;17561;16695;16694;1055.382255;9.475239853
538615;land;NULL;NULL;1869;13003;7069;118.4619985;84.41525659
538617;land;NULL;NULL;22537;7262;16696;1350.709943;7.403514018
